"plantid","plot","tag","fl.init","fl.fina","year"
"3583_1_2I",1,3583,4,5,2023
"3599_1_0J",1,3599,3,6,2023
"3608_1_3C",1,3608,5,6,2023
"3610_1_0D",1,3610,3,5,2023
"3611_1_6I",1,3611,3,6,2023
"3627_1_6I",1,3627,5,5,2023
"3629_1_4I",1,3629,5,5,2023
"3645_1_5I",1,3645,5,5,2023
"3687_1_4I",1,3687,6,6,2023
"3692_1_7E",1,3692,5,5,2023
"3728_1_4E",1,3728,4,6,2023
"3741_1_5J",1,3741,3,6,2023
"3744_1_8B",1,3744,6,6,2023
"3763_1_12A",1,3763,4,5,2023
"3782_1_0I",1,3782,5,6,2023
"3814_1_9J",1,3814,5,6,2023
"3850_1_17E",1,3850,3,5,2023
"3860_1_3C",1,3860,5,5,2023
"3879_1_3C",1,3879,4,5,2023
"3902_1_16I",1,3902,3,5,2023
"3930_1_7H",1,3930,4,6,2023
"3935_1_4H",1,3935,4,6,2023
"7533_1_3E",1,7533,5,5,2023
"7599_1_1F",1,7599,5,5,2023
