"plantid","Plot","Year","detected","obs.alive","no.leaves","leaf.leng","flowering","no.umbels"
"3980_13_0F",13,2016,TRUE,TRUE,6,7.3,TRUE,2
"7537_13_4C",13,2016,TRUE,TRUE,4,3.4,TRUE,1
"2107_14_13A",14,2016,TRUE,TRUE,3,6,FALSE,NA
"2928_14_17B",14,2016,TRUE,TRUE,1,7.1,FALSE,NA
"3032_14_6B",14,2016,TRUE,TRUE,4,8,TRUE,2
"3035_14_3B",14,2016,TRUE,TRUE,3,7.5,FALSE,NA
"3058_14_2A",14,2016,TRUE,TRUE,6,5.7,TRUE,1
"3084_14_12A",14,2016,TRUE,TRUE,3,7.8,FALSE,NA
"3085_14_5B",14,2016,TRUE,TRUE,6,6.1,FALSE,NA
"3118_14_17A",14,2016,TRUE,TRUE,6,6.3,FALSE,NA
"3149_14_19A",14,2016,TRUE,TRUE,2,3.6,TRUE,1
"3169_14_15A",14,2016,TRUE,TRUE,4,6,FALSE,NA
"3300_14_6B",14,2016,TRUE,TRUE,6,10.1,TRUE,1
"3340_14_4A",14,2016,TRUE,TRUE,1,8.5,FALSE,NA
"3350_14_2A",14,2016,TRUE,TRUE,1,12,FALSE,NA
"3575_14_19G",14,2016,TRUE,TRUE,3,3.7,FALSE,NA
"3587_14_19C",14,2016,TRUE,TRUE,3,3.8,FALSE,NA
"3607_14_10D",14,2016,TRUE,TRUE,5,5.3,TRUE,1
"3626_14_3A",14,2016,TRUE,TRUE,3,5.9,FALSE,NA
"3671_14_5C",14,2016,TRUE,TRUE,3,7.6,FALSE,NA
"3689_14_4B",14,2016,TRUE,TRUE,4,10.7,TRUE,1
"3699_14_0E",14,2016,TRUE,TRUE,4,5,FALSE,NA
"3885_14_9D",14,2016,TRUE,TRUE,3,6.5,FALSE,NA
"3913_14_5E",14,2016,TRUE,TRUE,10,7.3,TRUE,2
"3926_14_5D",14,2016,TRUE,TRUE,3,8.4,TRUE,2
"3014_15_9I",15,2016,TRUE,TRUE,8,10.2,TRUE,2
"3017_15_7G",15,2016,TRUE,TRUE,3,12,TRUE,1
"3052_15_3J",15,2016,TRUE,TRUE,7,8,TRUE,1
"3063_15_1J",15,2016,TRUE,TRUE,3,17.5,TRUE,1
"3065_15_2F",15,2016,TRUE,TRUE,4,6.5,TRUE,2
"3068_15_6I",15,2016,TRUE,TRUE,3,14.1,TRUE,1
"3083_15_7I",15,2016,TRUE,TRUE,6,10,TRUE,1
"3094_15_14D",15,2016,TRUE,TRUE,2,4.2,TRUE,1
"3116_15_16C",15,2016,TRUE,TRUE,3,10.5,FALSE,NA
"3156_15_19D",15,2016,TRUE,TRUE,4,13.2,TRUE,2
"3177_15_6G",15,2016,TRUE,TRUE,3,15.5,TRUE,1
"3297_15_12I",15,2016,TRUE,TRUE,1,7,TRUE,1
"3303_15_10J",15,2016,TRUE,TRUE,4,12,TRUE,1
"3332_15_5J",15,2016,TRUE,TRUE,6,10.5,TRUE,3
"3341_15_3H",15,2016,TRUE,TRUE,3,4,TRUE,1
"3382_15_2I",15,2016,TRUE,TRUE,3,15,TRUE,1
"3581_15_15I",15,2016,TRUE,TRUE,7,11.5,TRUE,1
"3659_15_4C",15,2016,TRUE,TRUE,4,10,TRUE,1
"3668_15_16H",15,2016,TRUE,TRUE,4,11.2,TRUE,1
"3693_15_17G",15,2016,TRUE,TRUE,10,17,TRUE,3
"3706_15_13I",15,2016,TRUE,TRUE,4,13,TRUE,1
"3801_15_19E",15,2016,TRUE,TRUE,1,15,FALSE,NA
"3816_15_1A",15,2016,TRUE,TRUE,3,14,FALSE,NA
"3832_15_8H",15,2016,TRUE,TRUE,4,10.7,TRUE,1
"3843_15_11J",15,2016,TRUE,TRUE,4,13.5,TRUE,1
"3848_15_10J",15,2016,TRUE,TRUE,4,13,TRUE,1
"3863_15_8I",15,2016,TRUE,TRUE,4,7.5,TRUE,2
"3868_15_15A",15,2016,TRUE,TRUE,4,10.5,TRUE,2
"3894_15_12G",15,2016,TRUE,TRUE,3,4.5,TRUE,1
"3900_15_11F",15,2016,TRUE,TRUE,3,6,FALSE,NA
"3932_15_13H",15,2016,TRUE,TRUE,3,8.2,FALSE,NA
"3940_15_5I",15,2016,TRUE,TRUE,3,12,TRUE,1
"6157_15_0J",15,2016,TRUE,TRUE,8,14,TRUE,2
"3046_1_8B",1,2017,TRUE,TRUE,1,11,FALSE,NA
"3151_1_8H",1,2017,TRUE,TRUE,1,8.5,TRUE,1
"3506_1_2E",1,2017,TRUE,TRUE,3,14.5,TRUE,1
"3525_1_0E",1,2017,TRUE,TRUE,4,17.5,TRUE,1
"3527_1_0H",1,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3537_1_8J",1,2017,TRUE,TRUE,2,8.3,FALSE,NA
"3542_1_0I",1,2017,TRUE,TRUE,5,15,TRUE,1
"3543_1_2F",1,2017,TRUE,TRUE,3,33.5,FALSE,NA
"3553_1_7C",1,2017,TRUE,TRUE,3,9,FALSE,NA
"3554_1_5I",1,2017,TRUE,TRUE,4,12.6,TRUE,1
"3567_1_3I",1,2017,TRUE,TRUE,3,12,FALSE,NA
"3583_1_1I",1,2017,TRUE,TRUE,1,12,FALSE,NA
"3599_1_0I",1,2017,TRUE,TRUE,5,13.5,TRUE,4
"3608_1_3D",1,2017,TRUE,TRUE,2,16.5,FALSE,NA
"3610_1_0C",1,2017,TRUE,TRUE,8,22.8,TRUE,3
"3611_1_7I",1,2017,TRUE,TRUE,3,7.9,FALSE,NA
"3627_1_7I",1,2017,TRUE,TRUE,3,9,FALSE,NA
"3629_1_4I",1,2017,TRUE,TRUE,6,14,FALSE,NA
"3645_1_5J",1,2017,TRUE,TRUE,4,12.2,TRUE,1
"3650_1_7E",1,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3687_1_5I",1,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3692_1_7E",1,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3814_1_0J",1,2017,TRUE,TRUE,3,6.5,TRUE,1
"3821_1_4A",1,2017,TRUE,TRUE,4,24,TRUE,1
"3845_1_7G",1,2017,TRUE,TRUE,1,10,FALSE,NA
"3860_1_3D",1,2017,TRUE,TRUE,4,12.5,TRUE,1
"3871_1_8J",1,2017,FALSE,FALSE,NA,NA,NA,NA
"3875_1_9B",1,2017,TRUE,TRUE,2,16,FALSE,NA
"3878_1_9E",1,2017,FALSE,FALSE,NA,NA,NA,NA
"3879_1_3D",1,2017,TRUE,TRUE,3,14.5,TRUE,1
"3930_1_8G",1,2017,TRUE,TRUE,3,16,FALSE,NA
"3935_1_4I",1,2017,TRUE,TRUE,2,15,FALSE,NA
"3982_1_8B",1,2017,TRUE,TRUE,1,8,FALSE,NA
"3013_2_3I",2,2017,TRUE,TRUE,1,9.5,FALSE,NA
"3185_2_7I",2,2017,TRUE,TRUE,1,8.5,FALSE,NA
"3323_2_2C",2,2017,TRUE,TRUE,1,9.5,FALSE,NA
"3501_2_0J",2,2017,TRUE,TRUE,1,16,FALSE,NA
"3502_2_8B",2,2017,TRUE,TRUE,1,11.5,FALSE,NA
"3519_2_9G",2,2017,TRUE,TRUE,1,11.1,TRUE,1
"3523_2_2D",2,2017,TRUE,TRUE,2,9,TRUE,1
"3531_2_9B",2,2017,TRUE,TRUE,1,15.4,FALSE,NA
"3533_2_2C",2,2017,TRUE,TRUE,2,9.5,FALSE,NA
"3539_2_7D",2,2017,TRUE,TRUE,1,9.5,FALSE,NA
"3540_2_2B",2,2017,TRUE,TRUE,1,8.5,FALSE,NA
"3544_2_0D",2,2017,TRUE,TRUE,2,9.5,FALSE,NA
"3549_2_7A",2,2017,TRUE,TRUE,3,6,FALSE,NA
"3550_2_9I",2,2017,TRUE,TRUE,1,10,FALSE,NA
"3574_2_0A",2,2017,TRUE,TRUE,2,9,FALSE,NA
"3576_2_1B",2,2017,TRUE,TRUE,4,7,TRUE,1
"3584_2_7F",2,2017,TRUE,TRUE,5,8,TRUE,1
"3597_2_7H",2,2017,TRUE,TRUE,2,9.5,TRUE,1
"3598_2_6D",2,2017,TRUE,TRUE,1,9.4,FALSE,NA
"3619_2_3A",2,2017,TRUE,TRUE,1,9,FALSE,NA
"3623_2_6E",2,2017,TRUE,TRUE,2,11,FALSE,NA
"3652_2_0C",2,2017,FALSE,FALSE,NA,NA,NA,NA
"3654_2_3G",2,2017,TRUE,TRUE,1,10,FALSE,NA
"3667_2_5B",2,2017,TRUE,TRUE,3,7,FALSE,NA
"3668_2_7A",2,2017,TRUE,TRUE,3,4.1,FALSE,NA
"3698_2_5J",2,2017,TRUE,TRUE,4,7.1,TRUE,2
"3703_2_7C",2,2017,TRUE,TRUE,1,5.4,FALSE,NA
"3841_2_1C",2,2017,TRUE,TRUE,4,11.5,TRUE,2
"3847_2_4E",2,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3858_2_6B",2,2017,TRUE,TRUE,3,8.3,FALSE,NA
"3861_2_7A",2,2017,TRUE,TRUE,4,5.2,FALSE,NA
"3864_2_8G",2,2017,TRUE,TRUE,1,8,FALSE,NA
"3865_2_9F",2,2017,TRUE,TRUE,3,7,FALSE,NA
"3891_2_0J",2,2017,TRUE,TRUE,2,16.5,FALSE,NA
"3908_2_8B",2,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3934_2_3H",2,2017,TRUE,TRUE,1,7.5,FALSE,NA
"3015_3_0F",3,2017,TRUE,TRUE,2,12.5,TRUE,3
"3019_3_2A",3,2017,TRUE,TRUE,6,18.5,TRUE,1
"3036_3_2B",3,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3056_3_0B",3,2017,TRUE,TRUE,2,13.5,FALSE,NA
"3071_3_0A",3,2017,TRUE,TRUE,2,17,FALSE,NA
"3304_3_3B",3,2017,TRUE,TRUE,2,13,TRUE,1
"3313_3_3B",3,2017,TRUE,TRUE,3,8,FALSE,NA
"3349_3_1F",3,2017,TRUE,TRUE,6,25,TRUE,2
"3507_3_3B",3,2017,TRUE,TRUE,1,12,TRUE,1
"3568_3_2C",3,2017,TRUE,TRUE,2,7,FALSE,NA
"3624_3_0D",3,2017,TRUE,TRUE,6,12,TRUE,3
"3633_3_2B",3,2017,TRUE,TRUE,1,13.5,FALSE,NA
"3651_3_3B",3,2017,TRUE,TRUE,1,12,FALSE,NA
"3831_3_4B",3,2017,TRUE,TRUE,1,10,TRUE,1
"3906_3_1C",3,2017,TRUE,TRUE,1,7,TRUE,1
"3007_4_4H",4,2017,TRUE,TRUE,3,12,FALSE,NA
"3011_4_3H",4,2017,TRUE,TRUE,4,10,TRUE,1
"3064_4_1H",4,2017,TRUE,TRUE,2,9,FALSE,NA
"3075_4_1I",4,2017,TRUE,TRUE,3,14,FALSE,NA
"3090_4_18P",4,2017,TRUE,TRUE,3,16,FALSE,NA
"3103_4_11",4,2017,TRUE,TRUE,1,9,FALSE,NA
"3122_4_8J",4,2017,TRUE,TRUE,3,9.5,FALSE,NA
"3342_4_14N",4,2017,TRUE,TRUE,4,9,TRUE,2
"3364_4_3H",4,2017,TRUE,TRUE,2,11,TRUE,1
"3555_4_11J",4,2017,TRUE,TRUE,3,12,TRUE,1
"3563_4_15H",4,2017,TRUE,TRUE,5,10,TRUE,3
"3571_4_6J",4,2017,TRUE,TRUE,2,9,TRUE,1
"3634_4_18E",4,2017,TRUE,TRUE,6,8.5,TRUE,2
"3656_4_0D",4,2017,TRUE,TRUE,2,10.5,FALSE,NA
"3660_4_2G",4,2017,TRUE,TRUE,2,11,FALSE,NA
"3680_4_4J",4,2017,TRUE,TRUE,2,7.5,FALSE,NA
"3691_4_2H",4,2017,TRUE,TRUE,2,9.5,FALSE,NA
"3805_4_0J",4,2017,TRUE,TRUE,2,10.5,TRUE,1
"3812_4_1D",4,2017,TRUE,TRUE,1,11.5,FALSE,NA
"3983_4_7I",4,2017,TRUE,TRUE,5,12,TRUE,1
"3001_5_16I",5,2017,TRUE,FALSE,NA,NA,FALSE,NA
"3003_5_10C",5,2017,TRUE,TRUE,2,10,TRUE,1
"3010_5_14G",5,2017,TRUE,TRUE,3,13,TRUE,1
"3022_5_14J",5,2017,TRUE,TRUE,3,11,TRUE,1
"3024_5_0H",5,2017,TRUE,TRUE,4,15,TRUE,2
"3034_5_8G",5,2017,TRUE,TRUE,6,12,FALSE,NA
"3040_5_12D",5,2017,TRUE,TRUE,4,8.5,TRUE,2
"3060_5_14D",5,2017,TRUE,TRUE,5,8,TRUE,1
