"year","plantid","plot","umbel.no","no.seeds","seed.notes","in.seed","phen.umbels","phen.julis","in.phen"
2024,"3780_13",13,1,102,"counted on 15-Jun",TRUE,2,"117; 138",TRUE
2024,"3826_13",13,2,20,"counted on 11-Jun",TRUE,3,"110; 124; 124",TRUE
2024,"3826_13",13,1,12,"counted on 11-Jun",TRUE,3,"110; 124; 124",TRUE
2024,"3978_13",13,1,58,"counted on 15-Jun",TRUE,3,"110; 110; 131",TRUE
2024,"3978_13",13,2,42,"counted on 15-Jun",TRUE,3,"110; 110; 131",TRUE
2024,"3980_13",13,1,70,"counted on 11-Jun",TRUE,2,"110; 131",TRUE
2024,"7527_13",13,1,48,"counted on 15-Jun",TRUE,5,"103; 117; 124; 138; 138",TRUE
2024,"7527_13",13,2,54,"counted on 15-Jun",TRUE,5,"103; 117; 124; 138; 138",TRUE
2024,"7537_13",13,1,82,"counted on 15-Jun",TRUE,2,"110; 131",TRUE
2024,"7571_13",13,1,0,"counted on 11-Jun; plant/umbels gone;",TRUE,1,"138",TRUE
2024,"7589_13",13,1,28,"counted on 11-Jun",TRUE,1,"131",TRUE
2024,"7592_13",13,1,0,"counted on 11-Jun",TRUE,4,"117; 117; 138; 138",TRUE
