"year","plantid","plot","tag","umbel.no","no.seeds","notes"
2022,"3494_13",13,"3494","3",0,";"
2022,"3367_13",13,"3367","1",0,";"
2022,"3391_13",13,"3391","1",16,";"
2022,"3123_13",13,"3123","1",NA,";*** look at hard copy"
2022,"3123_13",13,"3123","2",132,";"
2022,"3123_13",13,"3123","3",13,";"
2022,"3123_13",13,"3123","4",0,";"
2022,"3769_13",13,"3769","1",0,";"
2022,"3429_13",13,"3429","1",46,";"
2022,"3143_13",13,"3143","1",78,";"
2022,"3126_13",13,"3126","1",20,";"
2022,"3126_13",13,"3126","2",126,";"
2022,"3565_13",13,"3565","1",0,";"
2022,"3590_13",13,"3590","1",0,";"
2022,"3026_13",13,"3026","1",24,";"
2022,"3336_13",13,"3336","1",10,";"
2022,"3595_13",13,"3595","1",0,";"
2022,"3108_13",13,"3108","1",46,";"
2022,"3128_13",13,"3128","1",50,";"
2022,"3167_13",13,"3167","1",0,";"
2022,"3196_13",13,"3196","1",0,";"
2022,"3196_13",13,"3196","2",0,";"
2022,"3428_13",13,"3428","1",2,"umble nibbled on;"
2022,"3155_13",13,"3155","1",88,";"
2022,"3614_13",13,"3614","1",66,";"
2022,"3497_13",13,"3497","1",36,";"
2022,"3628_13",13,"3628","1",58,";"
2022,"3628_13",13,"3628","2",88,";"
2022,"3112_13",13,"3112","1",0,";"
2022,"3042_13",13,"3042","1",28,";"
2022,"3397_13",13,"3397","1",8,";"
2022,"3397_13",13,"3397","2",54,";"
2022,"3180_13",13,"3180","1",30,";"
2022,"3780_13",13,"3780","1",146,";"
2022,"3780_13",13,"3780","2",0,";"
2022,"7592_13",13,"7592","1",18,";"
2022,"7592_13",13,"7592","2",96,";"
2022,"3989_13",13,"3989","1",76,";"
2022,"3357_13",13,"3357","1",18,";"
2022,"3853_13",13,"3853","1",62,"order unknown;"
2022,"3853_13",13,"3853","2",38,";"
2022,"3853_13",13,"3853","3",40,";"
2022,"3853_13",13,"3853","4",64,";"
2022,"3178_13",13,"3178","1",32,";"
2022,"3726_13",13,"3726","1",62,";"
2022,"3384_13",13,"3384","1",58,";"
2022,"3396_13",13,"3396","1",40,";"
2022,"3396_13",13,"3396","2",86,";"
2022,"3396_13",13,"3396","3",112,";"
2022,"3705_13",13,"3705","1",8,";"
2022,"3481_13",13,"3481","1",52,";"
2022,"3481_13",13,"3481","2",78,";"
2022,"3481_13",13,"3481","3",62,";"
2022,"3333_13",13,"3333","1",2,";"
2022,"3333_13",13,"3333","2",12,";"
2022,"3422_13",13,"3422","1",50,";"
2022,"3724_13",13,"3724","1",22,";"
2022,"3701_13",13,"3701","1",42,";"
2022,"3345_6",6,"3345","1",148,";"
2022,"3345_6",6,"3345","2",72,";"
2022,"3345_6",6,"3345","3",24,";"
2022,"3345_6",6,"3345","4",0,";"
2022,"3345_6",6,"3345","5",0,";"
2022,"3136_6",6,"3136","1",140,";"
2022,"3136_6",6,"3136","2",138,";"
2022,"3136_6",6,"3136","3",0,";"
2022,"3070_6",6,"3070","1",0,";"
2022,"3070_6",6,"3070","2",0,";"
2022,"3070_6",6,"3070","3",0,";"
2022,"3173_6",6,"3173","1",103,";"
2022,"3173_6",6,"3173","2",116,";"
2022,"3173_6",6,"3173","3",0,";"
2022,"3173_6",6,"3173","4",0,";"
2022,"3140_6",6,"3140","1",100,"order unknown;"
2022,"3140_6",6,"3140","2",116,";"
2022,"3140_6",6,"3140","3",0,";"
2022,"3005_6",6,"3005","1",0,";"
2022,"3630_6",6,"3630","1",160,";"
2022,"3630_6",6,"3630","2",148,";"
2022,"3630_6",6,"3630","3",0,";"
2022,"3179_6",6,"3179","1",0,";"
2022,"3179_6",6,"3179","2",0,";"
2022,"3179_6",6,"3179","3",0,";"
2022,"3955_6",6,"3955","1",24,";"
2022,"3319_6",6,"3319","1",0,";"
2022,"3319_6",6,"3319","2",0,";"
2022,"3319_6",6,"3319","3",0,";"
2022,"3319_6",6,"3319","4",0,";"
2022,"3319_6",6,"3319","5",0,";"
2022,"3360_6",6,"3360","1",186,";"
2022,"3360_6",6,"3360","2",0,";"
2022,"3358_6",6,"3358","1",32,"mini mised previously;"
2022,"3358_6",6,"3358","2",120,";"
2022,"3358_6",6,"3358","3",182,";"
2022,"3358_6",6,"3358","4",122,";"
2022,"3358_6",6,"3358","5",0,";"
2022,"3725_6",6,"3725","1",34,";"
2022,"3725_6",6,"3725","2",70,";"
2022,"3725_6",6,"3725","3",0,";"
2022,"3777_6",6,"3777","1",104,";"
2022,"3777_6",6,"3777","2",0,";"
2022,"3669_6",6,"3669","1",100,";"
2022,"3669_6",6,"3669","2",86,";"
2022,"3669_6",6,"3669","3",0,";"
2022,"3141_6",6,"3141","1",148,";"
2022,"3141_6",6,"3141","2",184,";"
2022,"3141_6",6,"3141","3",0,";"
2022,"3733_6",6,"3733","1",144,";"
2022,"3733_6",6,"3733","2",0,";"
2022,"3648_6",6,"3648","1",32,";"
2022,"3648_6",6,"3648","2",0,";"
2022,"3648_6",6,"3648","3",0,";"
2022,"3648_6",6,"3648","4",90,";"
2022,"3518_6",6,"3518","1",60,";"
2022,"3518_6",6,"3518","2",82,";"
2022,"3518_6",6,"3518","3",18,";"
2022,"3887_6",6,"3887","1",114,";"
2022,"3887_6",6,"3887","2",112,";"
2022,"3887_6",6,"3887","3",4,";"
2022,"3773_6",6,"3773","1",18,";"
2022,"3773_6",6,"3773","2",0,";"
2022,"3729_6",6,"3729","1",134,";"
2022,"3729_6",6,"3729","2",0,";"
2022,"3354_6",6,"3354","1",40,";"
2022,"7587_6",6,"7587","1",102,";"
2022,"7587_6",6,"7587","2",84,";"
2022,"3643_6",6,"3643","1",84,";"
2022,"3643_6",6,"3643","2",26,";"
2022,"3643_6",6,"3643","3",0,";"
2022,"3466_6",6,"3466","1",120,";"
2022,"3466_6",6,"3466","2",140,";"
2022,"3466_6",6,"3466","3",0,";"
2022,"3743_6",6,"3743","1",68,";"
2022,"3743_6",6,"3743","2",0,";"
2022,"3789_6",6,"3789","1",0,";"
2022,"3008_6",6,"3008","1",112,";"
2022,"3372_6",6,"3372","1",62,";"
2022,"3489_6",6,"3489","1",94,";"
2022,"3400_6",6,"3400","1",158,";"
2022,"3142_6",6,"3142","1",0,";"
2022,"5050_7",7,"5050","1",32,";"
2022,"3368_7",7,"3368","1",20,";"
2022,"3370_7",7,"3370","1",0,";"
2022,"5037_7",7,"5037","1",0,";"
2022,"5040_7",7,"5040","1",0,";"
2022,"3403_7",7,"3403","1",0,";"
2022,"5056_7",7,"5056","1",0,";"
2022,"5056_7",7,"5056","2",0,";"
2022,"3673_15",15,"3673","1",140,";"
2022,"3673_15",15,"3673","2",0,";"
2022,"3395_15",15,"3395","1",74,";"
2022,"3395_15",15,"3395","2",98,";"
2022,"3395_15",15,"3395","3",0,";"
2022,"3417_15",15,"3417","1",10,";"
2022,"3417_15",15,"3417","2",6,";"
2022,"3417_15",15,"3417","3",0,";"
2022,"3377_15",15,"3377","1",96,";"
2022,"3377_15",15,"3377","2",84,";"
2022,"3377_15",15,"3377","3",0,";"
2022,"3491_15",15,"3491","1",150,";"
2022,"3491_15",15,"3491","2",0,";"
2022,"3491_15",15,"3491","3",0,";"
2022,"3659_15",15,"3659","1",168,";"
2022,"3659_15",15,"3659","2",170,";"
2022,"3659_15",15,"3659","3",110,";"
2022,"3659_15",15,"3659","4",0,";"
2022,"3659_15",15,"3659","5",0,";"
2022,"3426_15",15,"3426","1",34,";"
2022,"3882_15",15,"3882","1",138,";"
2022,"3882_15",15,"3882","2",0,";"
2022,"3068_15",15,"3068","1",NA,";look at hard copy"
2022,"3068_15",15,"3068","2",0,";"
2022,"3021_15",15,"3021","1",168,";"
2022,"3021_15",15,"3021","2",0,";"
2022,"3297_15",15,"3297","1",132,";"
2022,"3297_15",15,"3297","2",0,";"
2022,"3401_15",15,"3401","1",90,";"
2022,"3401_15",15,"3401","2",0,";"
2022,"3076_15",15,"3076","1",152,";"
2022,"3076_15",15,"3076","2",0,";"
2022,"3479_15",15,"3479","1",112,";"
2022,"3479_15",15,"3479","2",118,";"
2022,"3479_15",15,"3479","3",166,";"
2022,"3479_15",15,"3479","4",100,";"
2022,"3479_15",15,"3479","5",82,";"
2022,"3479_15",15,"3479","6",40,";"
2022,"3177_15",15,"3177","1",66,";"
2022,"3177_15",15,"3177","2",32,";"
2022,"3177_15",15,"3177","3",10,";"
2022,"3177_15",15,"3177","4",68,";"
2022,"3017_15",15,"3017","1",70,";"
2022,"3017_15",15,"3017","2",0,";"
2022,"3341_15",15,"3341","1",140,";"
2022,"3341_15",15,"3341","2",94,";"
2022,"3341_15",15,"3341","3",12,";"
2022,"3341_15",15,"3341","4",96,";"
2022,"3341_15",15,"3341","5",108,";"
2022,"3341_15",15,"3341","6",30,";"
2022,"3341_15",15,"3341","7",26,";"
2022,"3052_15",15,"3052","1",102,";"
2022,"3052_15",15,"3052","2",0,";"
2022,"3500_15",15,"3500","1",160,";"
2022,"3500_15",15,"3500","2",26,";"
2022,"3500_15",15,"3500","3",0,";"
2022,"3490_15",15,"3490","1",68,";"
2022,"3490_15",15,"3490","2",0,";"
2022,"3900_15",15,"3900","1",126,";"
2022,"3900_15",15,"3900","2",42,";"
2022,"3354_15",15,"3354","1",68,";"
2022,"3354_15",15,"3354","2",44,";"
2022,"3354_15",15,"3354","3",30,";"
2022,"3354_15",15,"3354","4",70,";"
2022,"3354_15",15,"3354","5",4,";"
2022,"3354_15",15,"3354","6",0,";"
2022,"3354_15",15,"3354","7",0,";"
2022,"3734_15",15,"3734","1",88,";"
2022,"3734_15",15,"3734","2",0,";"
2022,"3757_15",15,"3757","1",86,";"
2022,"3757_15",15,"3757","2",20,";"
2022,"3489_15",15,"3489","1",112,";"
2022,"3489_15",15,"3489","2",86,";"
2022,"3371_15",15,"3371","1",86,";"
2022,"3371_15",15,"3371","2",32,";"
2022,"3371_15",15,"3371","3",94,";"
2022,"3116_15",15,"3116","1",38,";"
2022,"3116_15",15,"3116","2",22,";"
2022,"3116_15",15,"3116","3",16,";"
2022,"3455_15",15,"3455","1",178,";"
2022,"3455_15",15,"3455","2",0,";"
2022,"3736_15",15,"3736","1",68,";"
2022,"3736_15",15,"3736","2",42,";"
2022,"3736_15",15,"3736","3",18,";"
2022,"3736_15",15,"3736","4",0,";"
2022,"3436_15",15,"3436","1",54,";"
2022,"3436_15",15,"3436","2",22,";"
2022,"3740_15",15,"3740","1",122,";"
2022,"3740_15",15,"3740","2",52,";"
2022,"3740_15",15,"3740","3",0,";"
2022,"3740_15",15,"3740","4",0,";"
2022,"3740_15",15,"3740","5",0,";"
2022,"3740_15",15,"3740","6",0,";"
2022,"3063_15",15,"3063","1",8,";"
2022,"3427_15",15,"3427","1",34,";"
2022,"3427_15",15,"3427","2",0,";"
2022,"3065_15",15,"3065","1",36,";"
2022,"3065_15",15,"3065","2",2,";"
2022,"3065_15",15,"3065","3",0,";"
2022,"3818_15",15,"3818","1",96,";"
2022,"3818_15",15,"3818","2",106,";"
