"Year","tagplot","finalid.phen","n.phen.umbel","n.lost.umbel","mean.bud.day","plantid","finalid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd","finalid.seed","no.seeds"
2022,"3200_5","3200_5",3,1,116,"3200_5_4F","3200_5_4F",3,5,15,5,"drought",1,2,8,4.31748811353631,TRUE,"3200_5",80
2022,"3200_5","3200_5",3,1,116,"3200_5_4F","3200_5_4F",3,5,15,5,"drought",1,2,8,4.31748811353631,TRUE,"3200_5",46
2022,"3200_5","3200_5",3,1,116,"3200_5_4F","3200_5_4F",3,5,15,5,"drought",1,2,8,4.31748811353631,TRUE,"3200_5",0
2022,"3296_7","3296_7",2,1,116,"3296_7_9C","3296_7_9C",1,2,18,7,"drought",2,5,11.5,3.58351893845611,TRUE,"3296_7",26
2022,"3297_15","3297_15",2,1,119.5,"3297_15_12I","3297_15_12I",2,4,21,15,"drought",1,5,18,4.43081679884331,TRUE,"3297_15",132
2022,"3297_15","3297_15",2,1,119.5,"3297_15_12I","3297_15_12I",2,4,21,15,"drought",1,5,18,4.43081679884331,TRUE,"3297_15",0
2022,"3304_3","3304_3",2,1,130,"3304_3_3B","3304_3_3B",2,4,22,3,"control",1,3,19,4.47733681447821,TRUE,"3304_3",106
2022,"3304_3","3304_3",2,1,130,"3304_3_3B","3304_3_3B",2,4,22,3,"control",1,3,19,4.47733681447821,TRUE,"3304_3",0
2022,"3305_14","3305_14",1,0,116,"3305_14_7B","3305_14_7B",1,2,14,14,"drought",1,2,15,3.3322045101752,TRUE,"3305_14",2
2022,"3313_3","3313_3",1,0,137,"3313_3_3B","3313_3_3B",1,2,18,3,"control",0,3,18.5,3.58351893845611,FALSE,"3313_3",78
2022,"3319_6","3319_6",5,5,135.6,"3319_6_11A","3319_6_11A",5,7,16.5,6,"irrigated",4,5,18,4.74927052996185,TRUE,"3319_6",0
2022,"3319_6","3319_6",5,5,135.6,"3319_6_11A","3319_6_11A",5,7,16.5,6,"irrigated",4,5,18,4.74927052996185,TRUE,"3319_6",0
2022,"3319_6","3319_6",5,5,135.6,"3319_6_11A","3319_6_11A",5,7,16.5,6,"irrigated",4,5,18,4.74927052996185,TRUE,"3319_6",0
2022,"3319_6","3319_6",5,5,135.6,"3319_6_11A","3319_6_11A",5,7,16.5,6,"irrigated",4,5,18,4.74927052996185,TRUE,"3319_6",0
2022,"3319_6","3319_6",5,5,135.6,"3319_6_11A","3319_6_11A",5,7,16.5,6,"irrigated",4,5,18,4.74927052996185,TRUE,"3319_6",0
2022,"3333_13","3333_13",2,0,151,"3333_13_12A","3333_13_12A",2,2,7.5,13,"control",0,NA,NA,2.70805020110221,FALSE,"3333_13",12
2022,"3333_13","3333_13",2,0,151,"3333_13_12A","3333_13_12A",2,2,7.5,13,"control",0,NA,NA,2.70805020110221,FALSE,"3333_13",2
2022,"3336_13","3336_13",1,0,130,"3336_13_3C","3336_13_3C",1,2,18,13,"control",0,1,10,3.58351893845611,FALSE,"3336_13",10
2022,"3338_5","3338_5",2,1,116,"3338_5_3I","3338_5_3I",2,3,15,5,"drought",0,1,12.5,3.80666248977032,FALSE,"3338_5",90
2022,"3338_5","3338_5",2,1,116,"3338_5_3I","3338_5_3I",2,3,15,5,"drought",0,1,12.5,3.80666248977032,FALSE,"3338_5",0
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",140
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",30
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",12
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",26
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",96
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",108
2022,"3341_15","3341_15",7,0,132,"3341_15_3H","3341_15_3H",7,10,24.5,15,"drought",2,2,9,5.50125821054473,TRUE,"3341_15",94
2022,"3345_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3345_6",0
2022,"3345_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3345_6",0
2022,"3345_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3345_6",24
2022,"3345_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3345_6",72
2022,"3345_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3345_6",148
2022,"3347_1","3347_1",1,0,130,"3347_1_15I","3347_1_15I",1,2,15,1,"irrigated",0,1,13,3.40119738166216,FALSE,"3347_1",34
2022,"3349_3","3349_3",3,1,130,"3349_3_1F","3349_3_1F",3,5,13,3,"control",1,2,16.5,4.17438726989564,TRUE,"3349_3",2
2022,"3349_3","3349_3",3,1,130,"3349_3_1F","3349_3_1F",3,5,13,3,"control",1,2,16.5,4.17438726989564,TRUE,"3349_3",0
2022,"3349_3","3349_3",3,1,130,"3349_3_1F","3349_3_1F",3,5,13,3,"control",1,2,16.5,4.17438726989564,TRUE,"3349_3",58
2022,"3352_2","3352_2",2,1,137,"3352_2_19H","3352_2_19H",2,3,11,2,"control",2,3,14,3.49650756146648,TRUE,"3352_2",8
2022,"3352_2","3352_2",2,1,137,"3352_2_19H","3352_2_19H",2,3,11,2,"control",2,3,14,3.49650756146648,TRUE,"3352_2",0
2022,"3353_10","3353_10",2,1,112.5,"3353_10_5E","3353_10_5E",2,4,27,10,"drought",0,2,18,4.68213122712422,FALSE,"3353_10",114
2022,"3353_10","3353_10",2,1,112.5,"3353_10_5E","3353_10_5E",2,4,27,10,"drought",0,2,18,4.68213122712422,FALSE,"3353_10",0
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",70
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",0
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",0
2022,"3354_15","3354_15",7,2,130,"3354_15_11B","3354_15_11B",7,11,14,15,"drought",1,4,11.5,5.03695260241363,TRUE,"3354_15",4
