"size.pre","size.cur","trt","p.size.cur","perturb.param"
0.6,3.8,"irrigated",3.10701555394542e-07,"flow_int"
0.6,3.9,"control",2.19674658589706e-07,"flow_int"
0.6,3.9,"drought",2.20432263900843e-06,"flow_int"
0.6,3.9,"irrigated",8.28153214233423e-08,"flow_int"
0.6,4,"control",5.85566888014959e-08,"flow_int"
0.6,4,"drought",6.82499022814957e-07,"flow_int"
0.6,4,"irrigated",2.03529133765915e-08,"flow_int"
0.6,4.1,"control",1.43920178636362e-08,"flow_int"
0.6,4.1,"drought",1.94839737062983e-07,"flow_int"
0.6,4.1,"irrigated",4.61201917929718e-09,"flow_int"
0.6,4.2,"control",3.26148583036388e-09,"flow_int"
0.6,4.2,"drought",5.12863348728282e-08,"flow_int"
0.6,4.2,"irrigated",9.63616556152847e-10,"flow_int"
0.6,4.3,"control",6.81487557147594e-10,"flow_int"
0.6,4.3,"drought",1.24472789004796e-08,"flow_int"
0.6,4.3,"irrigated",1.85637636140499e-10,"flow_int"
0.6,4.4,"control",1.31295243639115e-10,"flow_int"
0.6,4.4,"drought",2.78545281280434e-09,"flow_int"
0.6,4.4,"irrigated",3.29743644805715e-11,"flow_int"
0.6,4.5,"control",2.33232294132291e-11,"flow_int"
0.6,4.5,"drought",5.74732582444137e-10,"flow_int"
0.6,4.5,"irrigated",5.40051860509721e-12,"flow_int"
0.6,4.6,"control",3.82011997712363e-12,"flow_int"
0.6,4.6,"drought",1.09341357036398e-10,"flow_int"
0.6,4.6,"irrigated",8.15535981882817e-13,"flow_int"
0.6,4.7,"control",5.76917814442405e-13,"flow_int"
0.6,4.7,"drought",1.91801380466208e-11,"flow_int"
0.6,4.7,"irrigated",1.13553209992784e-13,"flow_int"
0.6,4.8,"control",8.03340244906618e-14,"flow_int"
0.6,4.8,"drought",3.10218451481431e-12,"flow_int"
0.6,4.8,"irrigated",1.45782143707344e-14,"flow_int"
0.6,4.9,"control",1.0314156744591e-14,"flow_int"
0.6,4.9,"drought",4.62628251716752e-13,"flow_int"
0.6,4.9,"irrigated",1.72567050698425e-15,"flow_int"
0.6,5,"control",1.22100251328843e-15,"flow_int"
0.6,5,"drought",6.36129159626202e-14,"flow_int"
0.6,5,"irrigated",1.88347582088615e-16,"flow_int"
0.6,5.1,"control",1.3327479300775e-16,"flow_int"
0.6,5.1,"drought",8.06505038272217e-15,"flow_int"
0.6,5.1,"irrigated",1.89544352858244e-17,"flow_int"
0.6,5.2,"control",1.34130672947668e-17,"flow_int"
0.6,5.2,"drought",9.42795484619807e-16,"flow_int"
0.6,5.2,"irrigated",1.75877497885616e-18,"flow_int"
0.6,5.3,"control",1.24467744104127e-18,"flow_int"
0.6,5.3,"drought",1.01619377682257e-16,"flow_int"
0.6,5.3,"irrigated",1.5047291528436e-19,"flow_int"
0.6,5.4,"control",1.06496212165835e-19,"flow_int"
0.6,5.4,"drought",1.00991354279853e-17,"flow_int"
0.6,5.4,"irrigated",1.18701175492069e-20,"flow_int"
0.6,5.5,"control",8.40156384484743e-21,"flow_int"
0.6,5.5,"drought",9.25423426499334e-19,"flow_int"
0.6,5.5,"irrigated",8.63376716453601e-22,"flow_int"
0.6,5.6,"control",6.11131586433557e-22,"flow_int"
0.6,5.6,"drought",7.81889552750532e-20,"flow_int"
0.6,5.6,"irrigated",5.79020944046579e-23,"flow_int"
0.6,5.7,"control",4.09881161070582e-23,"flow_int"
0.6,5.7,"drought",6.0911453008499e-21,"flow_int"
0.6,5.7,"irrigated",3.58044363924217e-24,"flow_int"
0.6,5.8,"control",2.53471895557655e-24,"flow_int"
0.6,5.8,"drought",4.37523250248592e-22,"flow_int"
0.6,5.8,"irrigated",2.04139966168078e-25,"flow_int"
0.6,5.9,"control",1.44527435154629e-25,"flow_int"
0.6,5.9,"drought",2.89769013206237e-23,"flow_int"
0.6,5.9,"irrigated",1.07316836789083e-26,"flow_int"
0.6,6,"control",7.59835196080707e-27,"flow_int"
0.6,6,"drought",1.76950329231281e-24,"flow_int"
0.6,6,"irrigated",5.20183192712003e-28,"flow_int"
0.7,0.5,"control",1.02202969739487e-08,"flow_int"
0.7,0.5,"drought",6.21500020893374e-10,"flow_int"
0.7,0.5,"irrigated",5.89240185252654e-08,"flow_int"
0.7,0.6,"control",4.30335043578801e-08,"flow_int"
0.7,0.6,"drought",3.03958762691019e-09,"flow_int"
0.7,0.6,"irrigated",2.28746731524186e-07,"flow_int"
0.7,0.7,"control",1.67070025802493e-07,"flow_int"
0.7,0.7,"drought",1.37068233709803e-08,"flow_int"
0.7,0.7,"irrigated",8.18777812045549e-07,"flow_int"
0.7,0.8,"control",5.98052064397035e-07,"flow_int"
0.7,0.8,"drought",5.69911726143712e-08,"flow_int"
0.7,0.8,"irrigated",2.70225208882429e-06,"flow_int"
0.7,0.9,"control",1.97391331249785e-06,"flow_int"
0.7,0.9,"drought",2.18487702195086e-07,"flow_int"
0.7,0.9,"irrigated",8.22307564114165e-06,"flow_int"
0.7,1,"control",6.00711278797652e-06,"flow_int"
0.7,1,"drought",7.72315995688079e-07,"flow_int"
0.7,1,"irrigated",2.30723237554338e-05,"flow_int"
0.7,1.1,"control",1.68559069216987e-05,"flow_int"
0.7,1.1,"drought",2.51716503342778e-06,"flow_int"
0.7,1.1,"irrigated",5.96893730376391e-05,"flow_int"
0.7,1.2,"control",4.36101008158865e-05,"flow_int"
0.7,1.2,"drought",7.5644434181637e-06,"flow_int"
0.7,1.2,"irrigated",0.000142380766042225,"flow_int"
0.7,1.3,"control",0.000104032895193471,"flow_int"
0.7,1.3,"drought",2.09599815112923e-05,"flow_int"
0.7,1.3,"irrigated",0.000313151330501215,"flow_int"
0.7,1.4,"control",0.000228824702895629,"flow_int"
0.7,1.4,"drought",5.35492558167067e-05,"flow_int"
0.7,1.4,"irrigated",0.000635046936487689,"flow_int"
0.7,1.5,"control",0.000464070281288449,"flow_int"
0.7,1.5,"drought",0.000126143423158039,"flow_int"
0.7,1.5,"irrigated",0.00118742453261768,"flow_int"
0.7,1.6,"control",0.000867787191554156,"flow_int"
0.7,1.6,"drought",0.000273983502250928,"flow_int"
0.7,1.6,"irrigated",0.00204717437831118,"flow_int"
0.7,1.7,"control",0.0014962058277573,"flow_int"
0.7,1.7,"drought",0.000548697323054742,"flow_int"
0.7,1.7,"irrigated",0.0032542602807751,"flow_int"
0.7,1.8,"control",0.00237858171678219,"flow_int"
0.7,1.8,"drought",0.0010131876746143,"flow_int"
0.7,1.8,"irrigated",0.00476978014737099,"flow_int"
0.7,1.9,"control",0.00348653025829264,"flow_int"
0.7,1.9,"drought",0.00172502575104698,"flow_int"
0.7,1.9,"irrigated",0.00644604103344777,"flow_int"
0.7,2,"control",0.0047121317962919,"flow_int"
0.7,2,"drought",0.00270800770177378,"flow_int"
0.7,2,"irrigated",0.00803223484674836,"flow_int"
0.7,2.1,"control",0.00587205408912817,"flow_int"
0.7,2.1,"drought",0.00391970006208059,"flow_int"
0.7,2.1,"irrigated",0.0092284413836886,"flow_int"
0.7,2.2,"control",0.00674700906576168,"flow_int"
0.7,2.2,"drought",0.00523123710066676,"flow_int"
0.7,2.2,"irrigated",0.0097761745294175,"flow_int"
0.7,2.3,"control",0.00714794443926163,"flow_int"
0.7,2.3,"drought",0.00643731262725095,"flow_int"
0.7,2.3,"irrigated",0.00954900591597403,"flow_int"
0.7,2.4,"control",0.00698231874310819,"flow_int"
0.7,2.4,"drought",0.00730387657714223,"flow_int"
0.7,2.4,"irrigated",0.00859995159071063,"flow_int"
0.7,2.5,"control",0.00628878577490687,"flow_int"
0.7,2.5,"drought",0.00764101194220641,"flow_int"
0.7,2.5,"irrigated",0.00714138552299296,"flow_int"
0.7,2.6,"control",0.0052225494322052,"flow_int"
0.7,2.6,"drought",0.00737050014620692,"flow_int"
0.7,2.6,"irrigated",0.00546786242669517,"flow_int"
0.7,2.7,"control",0.00399895894749823,"flow_int"
0.7,2.7,"drought",0.00655528635652333,"flow_int"
0.7,2.7,"irrigated",0.00386012445683386,"flow_int"
