Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes
2021,7,3866,10,B,2,15,1,12.5,3,2016,
2021,7,5048,11,E,1,13.5,0,NA,NA,2021,
2021,7,3402,11,I,1,9,0,NA,NA,2020,
2021,7,5054,11,J,1,17,0,NA,NA,2021,
2021,7,3131,12,F,NA,NA,NA,NA,NA,2016,NPNT
2021,7,3403,12,I,1,16.5,0,NA,NA,2020,
2021,7,3406,12,J,2,13,0,NA,NA,2020,
2021,7,5055,12,J,1,21,0,NA,NA,2021,
2021,7,3513,13,C,NA,NA,NA,NA,NA,2016,NPNT
2021,7,3696,13,D,NA,NA,NA,NA,NA,2016,NPNT
2021,7,3150,13,G,1,17,0,NA,NA,2019,
2021,7,3357,13,G,NA,NA,NA,NA,NA,2016,NPNT
2021,7,5041,13,G,1,15,0,NA,NA,2021,next to 3150
2021,7,5056,14,J,1,24,0,NA,NA,2021,
2021,7,3447,15,D,2,11,0,NA,NA,2018,
2021,7,3177,15,E,1,10,0,NA,NA,2019,
2021,7,3404,15,H,0,NA,NA,NA,NA,2020,NP
2021,7,3405,15,H,1,16.5,0,NA,NA,2020,
2021,7,3409,16,B,1,20,0,NA,NA,2020,
2021,7,3446,16,C,2,15,0,NA,NA,2018,
2021,7,3407,16,D,2,19,0,NA,NA,2020,
2021,7,5032,16,D,2,16,0,NA,NA,2021,
2021,7,5040,16,D,2,14.5,0,NA,NA,2021,
2021,7,3408,17,C,1,19,0,NA,NA,2020,
2021,7,5037,17,E,2,14,0,NA,NA,2021,
2021,7,5038,17,J,1,12.5,0,NA,NA,2021,
