Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,2020notes
2020,5,3807,11,H,NA,NA,NA,NA,NA,2017,
2020,5,3615,11,J,NA,NA,NA,NA,NA,2017,
2020,5,3516,12,C,NA,NA,NA,NA,NA,2017,
2020,5,3040,12,D,NA,NA,NA,NA,NA,2016,
2020,5,3476,12,E,NA,NA,NA,NA,NA,2019,
2020,5,3109,12,F,NA,NA,NA,NA,NA,2017,
2020,5,3361,13,A,NA,NA,NA,NA,NA,2017,
2020,5,3343,13,C,NA,NA,NA,NA,NA,2016,
2020,5,3538,13,C,NA,NA,NA,NA,NA,2017,
2020,5,3331,13,E,NA,NA,NA,NA,NA,2017,
2020,5,3577,13,G,NA,NA,NA,NA,NA,2017,
2020,5,3677,13,G,NA,NA,NA,NA,NA,?,
2020,5,3566,13,H,NA,NA,NA,NA,NA,2017,
2020,5,3470,13,I,NA,NA,NA,NA,NA,2018,
2020,5,3093,14,A,NA,NA,NA,NA,NA,2017,
2020,5,3095,14,B,NA,NA,NA,NA,NA,2016,
2020,5,3472,14,B,NA,NA,NA,NA,NA,2018,
2020,5,3125,14,C,1,13,0,NA,NA,2019,
2020,5,3988,14,C,NA,NA,NA,NA,NA,2016,
2020,5,3060,14,D,NA,NA,NA,NA,NA,2017,
2020,5,3153,14,D,NA,NA,NA,NA,NA,2017,
2020,5,3010,14,G,NA,NA,NA,NA,NA,2016,
2020,5,3710,14,H,NA,NA,NA,NA,NA,2016,
2020,5,3022,14,J,NA,NA,NA,NA,NA,2016,
2020,5,3144,14,J,NA,NA,NA,NA,NA,2017,
2020,5,3186,15,G,NA,NA,NA,NA,NA,2016,
2020,5,3984,15,H,NA,NA,NA,NA,NA,2016,
2020,5,3488,15,I,NA,NA,NA,NA,NA,2019,
2020,5,3127,16,B,NA,NA,NA,NA,NA,2019,
2020,5,3833,16,B,NA,NA,NA,NA,NA,2016,
2020,5,3907,16,B,NA,NA,NA,NA,NA,2017,
2020,5,3124,16,D,NA,NA,NA,NA,NA,2016,
2020,5,3067,16,F,NA,NA,NA,NA,NA,2016,
2020,5,3697,16,G,NA,NA,NA,NA,NA,2017,
2020,5,3001,16,I,NA,NA,NA,NA,NA,2016,
2020,5,3811,16,J,NA,NA,NA,NA,NA,2017,
2020,5,3180,17,B,NA,NA,NA,NA,NA,2016,
2020,5,3342,17,B,NA,NA,NA,NA,NA,2016,
2020,5,3106,17,E,NA,NA,NA,NA,NA,2017,
2020,5,3679,17,F,NA,NA,NA,NA,NA,2016,
2020,5,3073,17,G,NA,NA,NA,NA,NA,2016,
2020,5,3817,17,H,NA,NA,NA,NA,NA,2017,
2020,5,3888,17,I,NA,NA,NA,NA,NA,2017,
2020,5,3474,18,A,NA,NA,NA,NA,NA,2018,
2020,5,3685,18,B,NA,NA,NA,NA,NA,2016,
2020,5,3180,18,C,NA,NA,NA,NA,NA,2016,duplicate tag
2020,5,3334,18,C,NA,NA,NA,NA,NA,2016,
2020,5,3135,18,D,NA,NA,NA,NA,NA,2016,
2020,5,3178,18,E,NA,NA,NA,NA,NA,2016,
2020,5,3869,18,E,NA,NA,NA,NA,NA,2016,
2020,5,3473,18,G,NA,NA,NA,NA,NA,2018,
2020,5,3713,19,F,NA,NA,NA,NA,NA,2016,
2020,5,3663,19,I,NA,NA,NA,NA,NA,2016,
2020,6,3070,4,G,4,15.4,1,48.3,6.1,2016,
2020,6,3008,4,J,1,15.5,0,NA,NA,2016,
2020,6,3179,5,E,3,12.5,2,32.6,SOS,2017,"tag missing, new tag: 3748"
2020,6,3790,5,I,1,6.1,13,NA,NA,2020,
2020,6,3916,7,C,3,14.5,0,NA,NA,2016,3918 = correct tag
2020,6,3400,8,E,2,12,1,34.8,4.3,2017,
2020,6,3791,9,J,2,8.2,12,NA,NA,2020,
2020,6,3518,10,I,3,21.2,2,46,SOS,2017,
2020,6,3319,11,A,6,16.6,2,36,SOS,2017,half came out of the ground
2020,6,3455,11,D,0,NA,NA,NA,NA,2018,no plant
2020,6,3601,12,B,1,16.2,0,NA,NA,2017,
2020,6,3360,12,C,0,NA,NA,NA,NA,2016,no plant
2020,6,3825,12,C,NA,NA,NA,NA,NA,2016,NPNT
2020,6,3345,12,D,2,15.3,2,44,SOS,2016,
2020,6,3358,12,D,3,18.6,2,34.5,SOS,2017,
2020,6,3164,13,A,1,15.7,0,NA,NA,2017,"tag missing, new tag=3789"
2020,6,3456,13,B,3,13.2,2,33,SOS,2018,
2020,6,3489,13,B,1,21.2,0,NA,NA,2019,
2020,6,3669,14,E,3,14.2,2,28.3,SOS,2016,
2020,6,3372,14,G,2,11.6,1,23.5,3.5,2017,
2020,6,3373,14,H,1,9.6,0,NA,NA,2017,
2020,6,3141,15,E,4,13.1,2,27,SOS,2016,
2020,6,3785,15,G,1,12,15,NA,NA,2020,
2020,6,3454,15,H,2,10.3,0,NA,NA,2018,
2020,6,3136,16,B,3,10.8,2,24,SOS,2016,
2020,6,3887,16,D,5,8.6,2,24,SOS,2017,
2020,6,3648,16,F,3,13.1,2,25.6,SOS,2016,
2020,6,3630,16,I,3,12,2,33,SOS,2016,
2020,6,3465,17,F,1,13.2,0,NA,NA,2019,
2020,6,3541,18,A,2,15.7,1,30,3.6,2017,
2020,6,3747,18,A,2,11.3,11,NA,NA,2020,
2020,6,3005,18,E,1,10.2,1,19.5,2.2,2016,
2020,6,3140,18,F,1,12.1,0,NA,NA,2016,
2020,6,3173,18,F,0,NA,NA,NA,NA,2016,no plant
2020,6,3784,18,F,1,10.3,14,NA,NA,2020,
2020,6,3374,18,H,1,15.2,0,NA,NA,2017,
2020,6,3643,18,H,2,9.8,0,NA,NA,2016,
2020,6,3466,19,B,1,12,0,NA,NA,2019,
2020,6,3142,19,D,1,10,1,14.5,1.8,2016,"tag missing, new tag=3792"
2020,6,3570,19,F,1,NA,1,19.5,2.9,2016,no leaves-weird
2020,7,3453,0,C,0,NA,NA,NA,NA,2018,no plant
2020,7,3981,0,D,0,NA,NA,NA,NA,2017,no plant
2020,7,3308,0,I,0,NA,NA,NA,NA,2017,no plant
2020,7,3069,1,C,NA,NA,NA,NA,NA,2016,NPNT
2020,7,3915,1,F,0,NA,NA,NA,NA,2017,no plant
2020,7,3327,1,H,0,NA,NA,NA,NA,2017,no plant
2020,7,3370,2,A,2,10.8,0,NA,NA,2017,
2020,7,3452,2,E,1,18.9,0,NA,NA,2018,
2020,7,3375,3,C,0,NA,NA,NA,NA,2017,no plant
2020,7,3636,3,J,1,13.6,0,NA,NA,2017,
2020,7,3450,4,H,0,NA,NA,NA,NA,2018,no plant
2020,7,3401,5,H,1,10.6,0,NA,NA,2020,
2020,7,3089,5,I,1,11.5,1,24.1,3.1,2017,
2020,7,3794,6,I,1,7.7,0,NA,NA,2020,
2020,7,3443,7,A,0,NA,NA,NA,NA,2018,no plant
2020,7,3044,7,D,2,13.1,0,NA,NA,2016,
2020,7,3688,7,H,2,13.5,1,21.5,1.7,2016,
2020,7,3368,7,I,1,15.5,0,NA,NA,2017,
2020,7,3874,8,C,2,10.2,1,22.3,2.6,2016,
2020,7,3100,9,B,1,10.6,1,12.5,4,2017,
2020,7,3296,9,C,4,11.2,2,22.5,SOS,2016,tag says '3298'
2020,7,3396,9,C,1,10.2,1,18,4.1,2016,tag says '3398'
2020,7,3994,9,J,5,15.7,2,32.5,SOS,2016,
2020,7,3866,10,B,0,NA,NA,NA,NA,2016,no plant
2020,7,3402,11,I,1,4.2,0,NA,NA,2020,
2020,7,3131,12,F,0,NA,NA,NA,NA,2016,no plant
2020,7,3403,12,I,1,13.2,0,NA,NA,2020,
2020,7,3406,12,J,1,8.2,0,NA,NA,2020,
2020,7,3513,13,C,0,NA,NA,NA,NA,2016,no plant
2020,7,3696,13,D,0,NA,NA,NA,NA,2016,no plant
2020,7,3150,13,G,1,15.8,0,NA,NA,2019,
2020,7,3357,13,G,NA,NA,NA,NA,NA,2016,NPNT
2020,7,3447,15,D,1,11.5,0,NA,NA,2018,
2020,7,3177,15,E,1,11.6,0,NA,NA,2019,
2020,7,3404,15,H,1,15.2,0,NA,NA,2020,
